record_id,accession_id,crop_group,storage_method,storage_room,lab_batch,regeneration_cycle,evaluation_year,storage_duration_months,contamination_load_pct,cold_room_temperature_c,subculture_count,viability_pct,tray_position_number,viability_loss_pct
GBR-0186,ACC-SYN-00186,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,30.1,4.98,-18.96,3,97.28,413,2.72
GBR-0084,ACC-SYN-00084,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,99.0,6.66,-19.84,4,89.5,568,10.5
GBR-0209,ACC-SYN-00209,andean-root,in-vitro,ROOM-6,BATCH-2025-02,2,2026,67.3,10.82,8.92,5,71.73,977,28.27
GBR-0202,ACC-SYN-00202,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,128.2,11.92,4.24,2,71.24,282,28.76
GBR-0058,ACC-SYN-00058,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,86.3,6.86,4.66,7,75.64,966,24.36
GBR-0133,ACC-SYN-00133,sweetpotato,in vitro,ROOM-2,BATCH-2025-06,2,2026,25.9,5.45,2.33,8,88.55,473,11.45
GBR-0070,ACC-SYN-00070,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,53.6,8.39,4.23,2,86.0,872,14.0
GBR-0198,ACC-SYN-00198,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,86.0,7.53,-4.8 F,1,82.32,999,17.68
GBR-0206,ACC-SYN-00206,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,4.92 years,10.01,7.61,10,73.59,242,26.41
GBR-0192,ACC-SYN-00192,potato,Cryogenic,ROOM-1,BATCH-2024-01,1,2025,107.9,4.09,-19.92,12,86.16,802,13.84
GBR-0087,ACC-SYN-00087,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,39.7,5.1,-20.18,12,93.97,711,6.03
GBR-0103,ACC-SYN-00103,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,3.77 years,13.7,4.93,11,76.3,576,23.7
GBR-0153,ACC-SYN-00153,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,111.4,10.85,-20.55,12,79.42,329,20.58
GBR-0118,ACC-SYN-00118,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,22.3,5.03,4.61,9,88.83,137,11.17
GBR-0148,ACC-SYN-00148,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,52.0,6.96,5.64,8,80.91,485,19.09
GBR-0129,ACC-SYN-00129,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,27.9,4.44,-20.07,10,100,235,0
GBR-0136,ACC-SYN-00136,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,34.2,11.3,3.05,7,87.47,627,12.53
GBR-0008,ACC-SYN-00008,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,114.9,9.16,8.4,2,132.0,332,29.86
GBR-0191,ACC-SYN-00191,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,94.4,4.35,7.02,3,74.06,396,25.94
GBR-0027,ACC-SYN-00027,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,94.1,3.39,-20.89,10,89.38,623,10.62
GBR-0019,ACC-SYN-00019,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,12.8,5.85,3.2,12,85.25,318,14.75
GBR-0137,ACC-SYN-00137,ARTC,in-vitro,ROOM-6,BATCH-2025-02,2,2026,99.0,10.18,8.99,2,69.72,158,30.28
GBR-0042,ACC-SYN-00042,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,36.5,0,-20.8,5,99.11,864,0.89
GBR-0056,ACC-SYN-00056,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,87.5,11.0,7.39,10,74.75,356,25.25
GBR-0078,ACC-SYN-00078,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,43.3,7.84,-19.23,2,93.36,819,6.64
GBR-0146,ACC-SYN-00146,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,53.0,2.54,7.18,12,90.2,786,9.8
GBR-0195,ACC-SYN-00195,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,18.6,7.57,-18.71,7,93.57,739,6.43
GBR-0073,ACC-SYN-00073,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,111.9,8.05,4.04,12,69.2,266,30.8
GBR-0030,ACC-SYN-00030,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,67.1,8.88,-21.94,8,91.78,429,8.22
GBR-0027,ACC-SYN-00027,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,94.1,3.39,-20.89,10,89.38,623,10.62
GBR-0051,ACC-SYN-00051,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,1.15 years,7.81,-18.53,1,92.03,722,7.97
GBR-0123,ACC-SYN-00123,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,25.4,3.17,-20.04,11,93.8,478,6.2
GBR-0151,ACC-SYN-00151,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,66.7,2.95,4.85,4,91.3,568,8.7
GBR-0207,ACC-SYN-00207,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,31.4,5.51,-19.53,2,100,990,0
GBR-0036,ACC-SYN-00036,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,13.3,5.58,-19.71,2,98.02,473,1.98
GBR-0187,ACC-SYN-00187,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,80.4,7.51,3.04,7,71.42,377,28.58
GBR-0057,ACC-SYN-00057,potato,cryogenic,ROOM-4,BATCH-2025-02,2,2026,86.1,0,-21.14,5,95.92,624,4.08
GBR-0204,ACC-SYN-00204,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,94.8,0,-20.88,,97.93,934,2.07
GBR-0052,ACC-SYN-00052,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,91.9,6.58,3.9,11,72.27,930,27.73
GBR-0033,ACC-SYN-00033,potato,cryogenic,ROOM-4,,2,2026,118.3,4.78,-20.29,11,82.85,184,17.15
GBR-0160,ACC-SYN-00160,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,121.8,5.74,3.99,7,73.1,398,26.9
GBR-0221,ACC-SYN-00221,andean-root,in vitro,ROOM-6,BATCH-2025-06,2,2026,26.8,7.6,7.69,12,88.23,452,11.77
GBR-0071,ACC-SYN-00071,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,22.5,6.94,7.43,1,79.38,725,20.62
GBR-0115,ACC-SYN-00115,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,26.1,11.07,4.78,5,84.21,900,15.79
GBR-0091,ACC-SYN-00091,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,126.9,,3.29,5,67.98,641,32.02
GBR-0220,ACC-SYN-00220,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,81.8,8.86,3.17,1,75.81,961,24.19
GBR-0123,ACC-SYN-00123,potato,cryogenic,ROOM-4,BATCH-2025-04,4,2026,25.4,3.17,-20.04,11,93.8,478,6.2
GBR-0149,ACC-SYN-00149,andean-root,in-vitro,ROOM-6,BATCH-2025-06,2,2026,27.0,6.59,7.91,11,80.17,189,19.83
GBR-0184,ACC-SYN-00184,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,44.1,3.77,3.81,,82.19,979,17.81
GBR-0011,ACC-SYN-00011,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,15.2,1.94,7.94,3,91.33,640,8.67
GBR-0155,ACC-SYN-00155,andean-root,in-vitro,ROOM-6,BATCH-2025-04,4,2026,94.5,5.88,8.91,10,75.19,718,24.81
GBR-0119,ACC-SYN-00119,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,27.2,9.17,7.7,10,80.53,343,19.47
GBR-0215,ACC-SYN-00215,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,122.1,6.24,7.24,2,77.03,587,22.97
GBR-0047,ACC-SYN-00047,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,80.6,8.97,7.73,12,75.33,502,24.67
GBR-0235,ACC-SYN-00235,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,83.4,9.13,4.47,11,76.04,277,23.96
GBR-0132,ACC-SYN-00132,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,13.9,1.79,-20.4,9,100,795,0
GBR-0239,ACC-SYN-00239,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,126.8,10.22,7.78,8,69.59,406,30.41
GBR-0211,ACC-SYN-00211,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,43.6,8.47,4.33,7,82.25,535,17.75
GBR-0060,ACC-SYN-00060,potato,cryogenic,ROOM-1,BATCH-2024-05,1,2025,131.5,3.68,-20.4,11,82.75,217,17.25
GBR-0214,ACC-SYN-00214,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,41.9,8.69,3.93,2,84.01,145,15.99
GBR-0164,ACC-SYN-00164,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,13.5,6.15,8.18,2,80.94,132,19.06
GBR-0120,ACC-SYN-00120,potato,cryogenic,ROOM-1,BATCH-2024-01,1,2025,126.3,6.11,-20.09,4,83.87,628,16.13
