record_id,lot_id,country_site,crop,season,producer_scale,inspection_round,multiplication_cycle,virus_incidence_pct,training_visits,inspection_fee_usd,lot_weight_kg,marketable_seed_pct,rejection_pct,bag_label_number,marketable_seed_fraction
SSQ-0186,LOT-SYN-00186,Uganda-Kabale,sweetpotato,2025-A,small,1,2,10.17,3,24.76,481.9,77.52,22.48,9758,0.7752
SSQ-0187,LOT-SYN-00187,India-Karnataka,potato,2025-B,medium,2,3,4.21,3,44.51,538.3,93.36,6.64,3306,0.9336
SSQ-0188,LOT-SYN-00188,Peru-Cusco,potato,2025-A,commercial,3,4,12.85,4,15.69,810.8,66.63,33.37,8121,0.6663
SSQ-0189,LOT-SYN-00189,Kenya-Nakuru,sweetpotato,2025-B,small,1,5,11.59,4,28.32,287.6,85.89,14.11,4387,0.8589
SSQ-0190,LOT-SYN-00190,Uganda-Kabale,potato,2025-A,medium,2,1,9.83,1,26.74,669.4,74.34,25.66,5355,0.7434
SSQ-0191,LOT-SYN-00191,India-Karnataka,potato,2025-B,commercial,3,2,2.42,1,43.9,770.9,89.45,10.55,8392,0.8945
SSQ-0192,LOT-SYN-00192,Peru-Cusco,sweetpotato,2025-A,small,1,3,21.1,4,19.41,156.6,55.62,44.38,2872,0.5562
SSQ-0193,LOT-SYN-00193,Kenya-Nakuru,potato,2025-B,medium,2,4,0,3,36.38,627.9,88.69,11.31,9915,0.8869
SSQ-0194,LOT-SYN-00194,Uganda-Kabale,potato,2025-A,commercial,3,5,10.65,4,22.58,315.0,79.92,20.08,1159,0.7992
SSQ-0195,LOT-SYN-00195,India-Karnataka,sweetpotato,2025-B,small,1,1,6.17,3,42.37,555.7,92.39,7.61,2806,0.9239
SSQ-0196,LOT-SYN-00196,Peru-Cusco,potato,2025-A,medium,2,2,6.63,3,17.96,457.9,87.7,12.3,7356,0.877
SSQ-0197,LOT-SYN-00197,Kenya-Nakuru,potato,2025-B,commercial,3,3,2.96,1,31.1,720.5,90.15,9.85,2342,0.9015
SSQ-0198,LOT-SYN-00198,Uganda-Kabale,sweetpotato,2025-A,small,1,4,13.03,4,26.16,484.8,69.73,30.27,3803,0.6973
SSQ-0199,LOT-SYN-00199,India-Karnataka,potato,2025-B,medium,2,5,9.2,6,40.74,508.8,98.72,1.28,8017,0.9872
SSQ-0200,LOT-SYN-00200,Peru-Cusco,potato,2025-A,commercial,3,1,4.67,3,13.78,690.1,85.19,14.81,6668,0.8519
SSQ-0201,LOT-SYN-00201,Kenya-Nakuru,sweetpotato,2025-B,small,1,2,16.9,3,37.64,417.2,74.8,25.2,4308,0.748
SSQ-0202,LOT-SYN-00202,Uganda-Kabale,potato,2025-A,medium,2,3,12.46,7,24.03,881.0,77.21,22.79,9314,0.7721
SSQ-0203,LOT-SYN-00203,India-Karnataka,potato,2025-B,commercial,3,4,12.24,4,42.57,690.4,83.12,16.88,6925,0.8312
SSQ-0204,LOT-SYN-00204,Peru-Cusco,sweetpotato,2025-A,small,1,5,2.82,1,21.69,284.5,77.01,22.99,6425,0.7701
SSQ-0205,LOT-SYN-00205,Kenya-Nakuru,potato,2025-B,medium,2,1,11.8,4,30.85,526.9,82.33,17.67,6885,0.8233
SSQ-0206,LOT-SYN-00206,Uganda-Kabale,potato,2025-A,commercial,3,2,3.87,3,26.11,417.4,93.09,6.91,4104,0.9309
SSQ-0207,LOT-SYN-00207,India-Karnataka,sweetpotato,2025-B,small,1,3,14.33,1,43.18,324.9,74.8,25.2,3956,0.748
SSQ-0208,LOT-SYN-00208,Peru-Cusco,potato,2025-A,medium,2,4,10.91,1,18.72,816.7,71.28,28.72,7318,0.7128
SSQ-0209,LOT-SYN-00209,Kenya-Nakuru,potato,2025-B,commercial,3,5,16.2,5,30.7,525.5,82.2,17.8,5371,0.822
SSQ-0210,LOT-SYN-00210,Uganda-Kabale,sweetpotato,2025-A,small,1,1,5.27,1,26.34,207.6,81.03,18.97,8691,0.8103
SSQ-0211,LOT-SYN-00211,India-Karnataka,potato,2025-B,medium,2,2,0,0,35.86,805.0,91.72,8.28,8562,0.9172
SSQ-0212,LOT-SYN-00212,Peru-Cusco,potato,2025-A,commercial,3,3,1.34,6,15.91,615.0,91.59,8.41,4563,0.9159
SSQ-0213,LOT-SYN-00213,Kenya-Nakuru,sweetpotato,2025-B,small,1,4,11.4,0,37.23,363.1,75.71,24.29,9277,0.7571
SSQ-0214,LOT-SYN-00214,Uganda-Kabale,potato,2025-A,medium,2,5,12.32,6,32.92,794.7,82.72,17.28,3647,0.8272
SSQ-0215,LOT-SYN-00215,India-Karnataka,potato,2025-B,commercial,3,1,16.28,6,41.13,749.0,83.83,16.17,1522,0.8383
SSQ-0216,LOT-SYN-00216,Peru-Cusco,sweetpotato,2025-A,small,1,2,8.79,2,17.36,363.2,78.16,21.84,7945,0.7816
SSQ-0217,LOT-SYN-00217,Kenya-Nakuru,potato,2025-B,medium,2,3,5.88,7,33.56,422.6,92.61,7.39,6552,0.9261
SSQ-0218,LOT-SYN-00218,Uganda-Kabale,potato,2025-A,commercial,3,4,2.76,2,26.43,553.7,86.43,13.57,2744,0.8643
SSQ-0219,LOT-SYN-00219,India-Karnataka,sweetpotato,2025-B,small,1,5,9.01,1,39.03,423.2,88.07,11.93,8044,0.8807
SSQ-0220,LOT-SYN-00220,Peru-Cusco,potato,2025-A,medium,2,1,10.97,7,19.36,690.3,77.26,22.74,5538,0.7726
SSQ-0221,LOT-SYN-00221,Kenya-Nakuru,potato,2025-B,commercial,3,2,1.29,6,35.47,613.6,96.33,3.67,5901,0.9633
SSQ-0222,LOT-SYN-00222,Uganda-Kabale,sweetpotato,2025-A,small,1,3,6.71,7,26.11,489.3,87.46,12.54,7218,0.8746
SSQ-0223,LOT-SYN-00223,India-Karnataka,potato,2025-B,medium,2,4,10.13,1,42.73,624.4,82.57,17.43,5400,0.8257
SSQ-0224,LOT-SYN-00224,Peru-Cusco,potato,2025-A,commercial,3,5,18.18,1,17.91,371.3,58.16,41.84,5541,0.5816
SSQ-0225,LOT-SYN-00225,Kenya-Nakuru,sweetpotato,2025-B,small,1,1,15.49,3,28.94,499.0,72.29,27.71,5070,0.7229
SSQ-0226,LOT-SYN-00226,Uganda-Kabale,potato,2025-A,medium,2,2,7.84,1,29.06,709.0,81.96,18.04,6654,0.8196
SSQ-0227,LOT-SYN-00227,India-Karnataka,potato,2025-B,commercial,3,3,5.2,3,47.1,921.8,92.14,7.86,4775,0.9214
SSQ-0228,LOT-SYN-00228,Peru-Cusco,sweetpotato,2025-A,small,1,4,10.97,3,15.16,593.0,77.58,22.42,9514,0.7758
SSQ-0229,LOT-SYN-00229,Kenya-Nakuru,potato,2025-B,medium,2,5,4.03,7,30.87,624.2,88.05,11.95,4683,0.8805
SSQ-0230,LOT-SYN-00230,Uganda-Kabale,potato,2025-A,commercial,3,1,21.77,0,27.16,610.8,56.15,43.85,7471,0.5615
SSQ-0231,LOT-SYN-00231,India-Karnataka,sweetpotato,2025-B,small,1,2,0,0,42.51,671.7,96.55,3.45,1698,0.9655
SSQ-0232,LOT-SYN-00232,Peru-Cusco,potato,2025-A,medium,2,3,8.09,3,17.12,823.7,74.14,25.86,6571,0.7414
SSQ-0233,LOT-SYN-00233,Kenya-Nakuru,potato,2025-B,commercial,3,4,11.6,2,37.29,656.9,69.32,30.68,6193,0.6932
SSQ-0234,LOT-SYN-00234,Uganda-Kabale,sweetpotato,2025-A,small,1,5,8.79,0,30.08,437.1,79.92,20.08,2161,0.7992
SSQ-0235,LOT-SYN-00235,India-Karnataka,potato,2025-B,medium,2,1,11.59,4,40.76,341.7,88.86,11.14,2302,0.8886
SSQ-0236,LOT-SYN-00236,Peru-Cusco,potato,2025-A,commercial,3,2,12.27,1,15.7,497.7,67.93,32.07,2564,0.6793
SSQ-0237,LOT-SYN-00237,Kenya-Nakuru,sweetpotato,2025-B,small,1,3,15.53,7,33.8,404.2,78.14,21.86,1482,0.7814
SSQ-0238,LOT-SYN-00238,Uganda-Kabale,potato,2025-A,medium,2,4,16.86,2,31.56,701.1,68.68,31.32,7171,0.6868
SSQ-0239,LOT-SYN-00239,India-Karnataka,potato,2025-B,commercial,3,5,6.26,0,40.46,718.8,89.49,10.51,8817,0.8949
SSQ-0240,LOT-SYN-00240,Peru-Cusco,sweetpotato,2025-A,small,1,1,0,4,12.22,254.1,91.97,8.03,8657,0.9197
SSQ-0241,LOT-SYN-00241,Kenya-Nakuru,potato,2025-B,medium,2,2,6.1,4,36.05,583.2,87.17,12.83,8042,0.8717
SSQ-0242,LOT-SYN-00242,Uganda-Kabale,potato,2025-A,commercial,3,3,5.38,1,29.92,401.5,80.45,19.55,8530,0.8045
SSQ-0243,LOT-SYN-00243,India-Karnataka,sweetpotato,2025-B,small,1,4,5.35,1,46.9,386.8,95.09,4.91,5150,0.9509
SSQ-0244,LOT-SYN-00244,Peru-Cusco,potato,2025-A,medium,2,5,2.1,7,17.73,745.8,83.97,16.03,8249,0.8397
SSQ-0245,LOT-SYN-00245,Kenya-Nakuru,potato,2025-B,commercial,3,1,10.48,3,34.61,604.5,74.08,25.92,8207,0.7408
SSQ-0246,LOT-SYN-00246,Uganda-Kabale,sweetpotato,2025-A,small,1,2,8.11,6,23.76,634.0,82.84,17.16,2123,0.8284
SSQ-0247,LOT-SYN-00247,India-Karnataka,potato,2025-B,medium,2,3,6.03,5,44.12,812.2,100,0,1572,1.0
SSQ-0248,LOT-SYN-00248,Peru-Cusco,potato,2025-A,commercial,3,4,14.35,4,18.71,902.1,67.52,32.48,8895,0.6752
SSQ-0249,LOT-SYN-00249,Kenya-Nakuru,sweetpotato,2025-B,small,1,5,9.0,7,31.21,447.5,95.37,4.63,4802,0.9537
SSQ-0250,LOT-SYN-00250,Uganda-Kabale,potato,2025-A,medium,2,1,8.0,1,26.1,500.3,84.23,15.77,1952,0.8423
SSQ-0251,LOT-SYN-00251,India-Karnataka,potato,2025-B,commercial,3,2,2.92,2,48.71,417.9,93.03,6.97,7323,0.9303
SSQ-0252,LOT-SYN-00252,Peru-Cusco,sweetpotato,2025-A,small,1,3,10.29,3,17.75,228.4,72.17,27.83,6302,0.7217
SSQ-0253,LOT-SYN-00253,Kenya-Nakuru,potato,2025-B,medium,2,4,6.81,4,31.44,683.9,89.17,10.83,4160,0.8917
SSQ-0254,LOT-SYN-00254,Uganda-Kabale,potato,2025-A,commercial,3,5,12.17,0,24.64,870.9,70.76,29.24,4166,0.7076
SSQ-0255,LOT-SYN-00255,India-Karnataka,sweetpotato,2025-B,small,1,1,10.37,1,47.94,327.9,85.4,14.6,5262,0.854
SSQ-0256,LOT-SYN-00256,Peru-Cusco,potato,2025-A,medium,2,2,12.57,7,23.17,620.0,72.09,27.91,6211,0.7209
SSQ-0257,LOT-SYN-00257,Kenya-Nakuru,potato,2025-B,commercial,3,3,13.69,5,33.4,428.7,83.94,16.06,1449,0.8394
SSQ-0258,LOT-SYN-00258,Uganda-Kabale,sweetpotato,2025-A,small,1,4,19.59,5,28.57,264.2,68.68,31.32,5438,0.6868
SSQ-0259,LOT-SYN-00259,India-Karnataka,potato,2025-B,medium,2,5,9.99,2,41.77,365.1,95.81,4.19,1600,0.9581
SSQ-0260,LOT-SYN-00260,Peru-Cusco,potato,2025-A,commercial,3,1,8.15,1,25.41,613.6,74.02,25.98,9687,0.7402
SSQ-0261,LOT-SYN-00261,Kenya-Nakuru,sweetpotato,2025-B,small,1,2,0.55,7,35.43,276.3,100,0,4161,1.0
SSQ-0262,LOT-SYN-00262,Uganda-Kabale,potato,2025-A,medium,2,3,5.36,0,24.74,456.5,85.82,14.18,6117,0.8582
SSQ-0263,LOT-SYN-00263,India-Karnataka,potato,2025-B,commercial,3,4,14.82,4,44.82,664.4,82.77,17.23,4298,0.8277
SSQ-0264,LOT-SYN-00264,Peru-Cusco,sweetpotato,2025-A,small,1,5,0,3,10.83,431.4,82.21,17.79,6758,0.8221
SSQ-0265,LOT-SYN-00265,Kenya-Nakuru,potato,2025-B,medium,2,1,8.25,7,32.01,743.5,89.9,10.1,6908,0.899
SSQ-0266,LOT-SYN-00266,Uganda-Kabale,potato,2025-A,commercial,3,2,11.67,2,28.34,362.0,77.34,22.66,3994,0.7734
SSQ-0267,LOT-SYN-00267,India-Karnataka,sweetpotato,2025-B,small,1,3,0.17,7,43.98,570.0,100,0,8403,1.0
SSQ-0268,LOT-SYN-00268,Peru-Cusco,potato,2025-A,medium,2,4,11.02,3,13.6,394.4,71.02,28.98,3958,0.7102
SSQ-0269,LOT-SYN-00269,Kenya-Nakuru,potato,2025-B,commercial,3,5,7.81,3,36.36,440.9,81.64,18.36,6192,0.8164
SSQ-0270,LOT-SYN-00270,Uganda-Kabale,sweetpotato,2025-A,small,1,1,8.42,1,27.51,250.0,79.97,20.03,4548,0.7997
SSQ-0271,LOT-SYN-00271,India-Karnataka,potato,2025-B,medium,2,2,4.13,7,45.63,649.4,97.46,2.54,5674,0.9746
SSQ-0272,LOT-SYN-00272,Peru-Cusco,potato,2025-A,commercial,3,3,15.32,6,18.54,627.2,65.28,34.72,1303,0.6528
SSQ-0273,LOT-SYN-00273,Kenya-Nakuru,sweetpotato,2025-B,small,1,4,13.71,1,35.74,250.3,70.75,29.25,5607,0.7075
SSQ-0274,LOT-SYN-00274,Uganda-Kabale,potato,2025-A,medium,2,5,8.72,7,24.52,605.8,86.84,13.16,2740,0.8684
SSQ-0275,LOT-SYN-00275,India-Karnataka,potato,2025-B,commercial,3,1,10.29,6,39.97,826.2,87.71,12.29,6807,0.8771
SSQ-0276,LOT-SYN-00276,Peru-Cusco,sweetpotato,2025-A,small,1,2,2.0,3,16.22,489.6,83.93,16.07,3171,0.8393
SSQ-0277,LOT-SYN-00277,Kenya-Nakuru,potato,2025-B,medium,2,3,11.59,7,37.14,838.9,85.6,14.4,8645,0.856
SSQ-0278,LOT-SYN-00278,Uganda-Kabale,potato,2025-A,commercial,3,4,8.74,4,30.01,569.0,74.55,25.45,1717,0.7455
SSQ-0279,LOT-SYN-00279,India-Karnataka,sweetpotato,2025-B,small,1,5,12.22,3,43.78,521.5,83.51,16.49,1905,0.8351
SSQ-0280,LOT-SYN-00280,Peru-Cusco,potato,2025-A,medium,2,1,16.11,2,13.89,677.6,59.52,40.48,9853,0.5952
SSQ-0281,LOT-SYN-00281,Kenya-Nakuru,potato,2025-B,commercial,3,2,10.58,6,33.62,868.8,84.44,15.56,8800,0.8444
SSQ-0282,LOT-SYN-00282,Uganda-Kabale,sweetpotato,2025-A,small,1,3,11.97,2,27.73,443.2,83.24,16.76,1721,0.8324
SSQ-0283,LOT-SYN-00283,India-Karnataka,potato,2025-B,medium,2,4,4.27,4,42.48,662.7,93.65,6.35,7924,0.9365
SSQ-0284,LOT-SYN-00284,Peru-Cusco,potato,2025-A,commercial,3,5,15.25,3,14.02,592.3,60.1,39.9,3231,0.601
SSQ-0285,LOT-SYN-00285,Kenya-Nakuru,sweetpotato,2025-B,small,1,1,8.87,3,33.61,200.7,82.48,17.52,4735,0.8248
SSQ-0286,LOT-SYN-00286,Uganda-Kabale,potato,2025-A,medium,2,2,9.62,6,23.49,563.3,80.33,19.67,7987,0.8033
SSQ-0287,LOT-SYN-00287,India-Karnataka,potato,2025-B,commercial,3,3,0.7,6,42.63,60,100,0,7026,1.0
SSQ-0288,LOT-SYN-00288,Peru-Cusco,sweetpotato,2025-A,small,1,4,7.01,2,18.34,316.1,77.2,22.8,2916,0.772
SSQ-0289,LOT-SYN-00289,Kenya-Nakuru,potato,2025-B,medium,2,5,3.85,1,28.06,589.4,89.57,10.43,1111,0.8957
SSQ-0290,LOT-SYN-00290,Uganda-Kabale,potato,2025-A,commercial,3,1,13.55,3,30.76,667.7,75.27,24.73,1952,0.7527
SSQ-0291,LOT-SYN-00291,India-Karnataka,sweetpotato,2025-B,small,1,2,5.29,2,38.26,231.1,98.16,1.84,7123,0.9816
SSQ-0292,LOT-SYN-00292,Peru-Cusco,potato,2025-A,medium,2,3,10.98,7,16.26,747.3,83.08,16.92,6550,0.8308
SSQ-0293,LOT-SYN-00293,Kenya-Nakuru,potato,2025-B,commercial,3,4,8.95,4,46.49,493.3,82.66,17.34,9649,0.8266
SSQ-0294,LOT-SYN-00294,Uganda-Kabale,sweetpotato,2025-A,small,1,5,7.83,1,27.86,218.6,81.55,18.45,7465,0.8155
SSQ-0295,LOT-SYN-00295,India-Karnataka,potato,2025-B,medium,2,1,7.84,1,42.75,869.1,93.15,6.85,1498,0.9315
SSQ-0296,LOT-SYN-00296,Peru-Cusco,potato,2025-A,commercial,3,2,3.65,3,18.78,782.8,76.21,23.79,7772,0.7621
SSQ-0297,LOT-SYN-00297,Kenya-Nakuru,sweetpotato,2025-B,small,1,3,6.32,0,35.04,458.6,84.76,15.24,5247,0.8476
SSQ-0298,LOT-SYN-00298,Uganda-Kabale,potato,2025-A,medium,2,4,14.94,5,26.86,739.4,72.56,27.44,3335,0.7256
SSQ-0299,LOT-SYN-00299,India-Karnataka,potato,2025-B,commercial,3,5,4.93,0,38.27,497.5,86.97,13.03,3207,0.8697
SSQ-0300,LOT-SYN-00300,Peru-Cusco,sweetpotato,2025-A,small,1,1,13.99,2,22.04,183.5,78.32,21.68,3123,0.7832
SSQ-0301,LOT-SYN-00301,Kenya-Nakuru,potato,2025-B,medium,2,2,9.29,5,26.87,544.1,78.07,21.93,4148,0.7807
SSQ-0302,LOT-SYN-00302,Uganda-Kabale,potato,2025-A,commercial,3,3,4.01,4,28.6,840.3,81.55,18.45,6752,0.8155
SSQ-0303,LOT-SYN-00303,India-Karnataka,sweetpotato,2025-B,small,1,4,8.81,1,40.42,321.0,85.45,14.55,6821,0.8545
SSQ-0304,LOT-SYN-00304,Peru-Cusco,potato,2025-A,medium,2,5,6.24,7,15.96,655.2,83.38,16.62,4252,0.8338
SSQ-0305,LOT-SYN-00305,Kenya-Nakuru,potato,2025-B,commercial,3,1,11.1,2,40.46,719.1,74.31,25.69,9665,0.7431
SSQ-0306,LOT-SYN-00306,Uganda-Kabale,sweetpotato,2025-A,small,1,2,9.27,7,22.64,392.5,87.08,12.92,4268,0.8708
SSQ-0307,LOT-SYN-00307,India-Karnataka,potato,2025-B,medium,2,3,12.12,1,43.21,455.2,78.27,21.73,3634,0.7827
SSQ-0308,LOT-SYN-00308,Peru-Cusco,potato,2025-A,commercial,3,4,11.27,3,15.32,841.2,66.62,33.38,7120,0.6662
SSQ-0309,LOT-SYN-00309,Kenya-Nakuru,sweetpotato,2025-B,small,1,5,10.66,0,35.87,677.7,72.56,27.44,2645,0.7256
SSQ-0310,LOT-SYN-00310,Uganda-Kabale,potato,2025-A,medium,2,1,9.51,2,21.65,657.0,78.65,21.35,5089,0.7865
SSQ-0311,LOT-SYN-00311,India-Karnataka,potato,2025-B,commercial,3,2,5.11,7,40.62,962.7,100,0,1936,1.0
SSQ-0312,LOT-SYN-00312,Peru-Cusco,sweetpotato,2025-A,small,1,3,8.86,3,17.36,519.4,77.7,22.3,1832,0.777
SSQ-0313,LOT-SYN-00313,Kenya-Nakuru,potato,2025-B,medium,2,4,13.26,6,34.24,523.4,82.38,17.62,4375,0.8238
SSQ-0314,LOT-SYN-00314,Uganda-Kabale,potato,2025-A,commercial,3,5,0.24,2,30.11,463.7,91.39,8.61,3870,0.9139
SSQ-0315,LOT-SYN-00315,India-Karnataka,sweetpotato,2025-B,small,1,1,11.35,1,44.77,326.6,82.67,17.33,7069,0.8267
SSQ-0316,LOT-SYN-00316,Peru-Cusco,potato,2025-A,medium,2,2,2.75,7,16.01,787.1,87.52,12.48,8320,0.8752
SSQ-0317,LOT-SYN-00317,Kenya-Nakuru,potato,2025-B,commercial,3,3,13.98,3,31.98,770.9,78.05,21.95,5747,0.7805
SSQ-0318,LOT-SYN-00318,Uganda-Kabale,sweetpotato,2025-A,small,1,4,1.75,5,27.72,309.1,81.9,18.1,3758,0.819
SSQ-0319,LOT-SYN-00319,India-Karnataka,potato,2025-B,medium,2,5,13.49,3,40.3,688.6,89.31,10.69,4214,0.8931
SSQ-0320,LOT-SYN-00320,Peru-Cusco,potato,2025-A,commercial,3,1,7.46,0,16.33,648.4,71.38,28.62,5948,0.7138
