record_id,community_code,region,survey_round,sampling_visit,households_interviewed,altitude_band,altitude_m,market_distance_km,morphotype_id,local_variety_name,skin_primary_color,main_use,seed_exchange_events_year,number_of_reported_uses,years_reported_in_community,observed_next_season,interviewer_badge_number,next_season_observed_copy
NPB-0184,COM-08,Puno,2025-baseline,2,23,mid,3203.8,35.9,MOR-SYN-026,Peruanita,purple,chuño,5,4,32,1,9243,1
NPB-0185,COM-08,Puno,2025-baseline,1,16,mid,3240.4,35.4,MOR-SYN-017,Azul,yellow,soup,3,1,60,0,3384,0
NPB-0186,COM-08,Puno,2025-baseline,3,37,mid,3271.4,35.6,MOR-SYN-042,Puka,yellow,soup,1,3,25,1,8377,1
NPB-0187,COM-08,Puno,2025-baseline,1,21,mid,3263.8,37.3,MOR-SYN-045,Ccompis,red,boiling,8,3,5,1,8884,1
NPB-0188,COM-08,Puno,2025-baseline,4,25,mid,3178.8,42.6,MOR-SYN-060,Sani,red,boiling,6,1,55,1,5838,1
NPB-0189,COM-08,Puno,2025-baseline,1,21,mid,3213.8,36.6,MOR-SYN-004,Qeqorani,multicolour,ceremonial,7,5,3,1,2679,1
NPB-0190,COM-08,Puno,2025-baseline,4,34,mid,3240.3,39.4,MOR-SYN-057,Azul,yellow,soup,0,5,49,1,6889,1
NPB-0191,COM-08,Puno,2025-baseline,3,18,mid,3294.9,37.7,MOR-SYN-056,Peruanita,purple,chuño,3,5,21,1,4665,1
NPB-0192,COM-08,Puno,2025-baseline,2,20,mid,3200.9,32.8,MOR-SYN-019,Amarilla,multicolour,ceremonial,7,4,28,1,7877,1
NPB-0193,COM-09,Ayacucho,2025-baseline,1,14,high,3759.4,78.4,MOR-SYN-053,Qeqorani,cream,market,1,4,5,1,2888,1
NPB-0194,COM-09,Ayacucho,2025-baseline,3,19,high,3696.0,75.9,MOR-SYN-055,Peruanita,red,boiling,3,4,55,1,2056,1
NPB-0195,COM-09,Ayacucho,2025-baseline,1,25,high,3778.0,80.1,MOR-SYN-026,Azul,purple,chuño,5,2,60,1,7218,1
NPB-0196,COM-09,Ayacucho,2025-baseline,1,27,high,3777.4,79.7,MOR-SYN-027,Muru,yellow,soup,6,1,7,1,3830,1
NPB-0197,COM-09,Ayacucho,2025-baseline,4,24,high,3729.7,77.8,MOR-SYN-035,Peruanita,red,boiling,3,4,59,1,6168,1
NPB-0198,COM-09,Ayacucho,2025-baseline,1,20,high,3712.5,81.7,MOR-SYN-004,Ccompis,multicolour,ceremonial,4,4,23,1,7790,1
NPB-0199,COM-09,Ayacucho,2025-baseline,4,18,high,3687.4,80.2,MOR-SYN-029,Sani,multicolour,ceremonial,4,5,50,1,4275,1
NPB-0200,COM-09,Ayacucho,2025-baseline,4,14,high,3728.7,79.1,MOR-SYN-018,Amarilla,cream,market,3,4,22,1,7144,1
NPB-0201,COM-09,Ayacucho,2025-baseline,3,38,high,3816.6,74.7,MOR-SYN-060,Wenccos,red,boiling,2,4,51,1,5748,1
NPB-0202,COM-09,Ayacucho,2025-baseline,4,18,high,3811.7,80.2,MOR-SYN-002,Yana,yellow,soup,1,2,62,1,6795,1
NPB-0203,COM-09,Ayacucho,2025-baseline,4,22,high,3761.1,83.0,MOR-SYN-013,Qeqorani,cream,market,5,1,55,0,9705,0
NPB-0204,COM-09,Ayacucho,2025-baseline,4,14,high,3736.8,81.8,MOR-SYN-011,Puka,purple,chuño,7,5,8,1,4520,1
NPB-0205,COM-09,Ayacucho,2025-baseline,4,34,high,3734.5,83.3,MOR-SYN-058,Amarilla,cream,market,2,2,52,1,7432,1
NPB-0206,COM-09,Ayacucho,2025-baseline,3,37,high,3790.7,78.9,MOR-SYN-057,Muru,yellow,soup,3,1,37,1,3017,1
NPB-0207,COM-09,Ayacucho,2025-baseline,1,37,high,3713.5,79.9,MOR-SYN-030,Wenccos,red,boiling,8,5,57,1,9590,1
NPB-0208,COM-09,Ayacucho,2025-baseline,1,18,high,3722.2,79.8,MOR-SYN-005,Peruanita,red,boiling,4,5,3,1,8545,1
NPB-0209,COM-09,Ayacucho,2025-baseline,1,23,high,3757.9,74.4,MOR-SYN-022,Yana,yellow,soup,5,4,49,1,1644,1
NPB-0210,COM-09,Ayacucho,2025-baseline,4,28,high,3757.0,80.0,MOR-SYN-048,Amarilla,cream,market,2,3,13,0,3388,0
NPB-0211,COM-09,Ayacucho,2025-baseline,4,16,high,3788.3,73.7,MOR-SYN-044,Ccompis,multicolour,ceremonial,3,5,66,1,5373,1
NPB-0212,COM-09,Ayacucho,2025-baseline,3,31,high,3706.7,77.1,MOR-SYN-040,Wenccos,red,boiling,6,3,45,1,2949,1
NPB-0213,COM-09,Ayacucho,2025-baseline,4,31,high,3772.6,67.8,MOR-SYN-016,Azul,purple,chuño,4,4,20,1,1459,1
NPB-0214,COM-09,Ayacucho,2025-baseline,3,12,high,3763.4,76.7,MOR-SYN-009,Sani,multicolour,ceremonial,7,4,8,1,9308,1
NPB-0215,COM-09,Ayacucho,2025-baseline,1,15,high,3744.2,84.0,MOR-SYN-020,Wenccos,red,boiling,5,3,56,1,9961,1
NPB-0216,COM-09,Ayacucho,2025-baseline,1,22,high,3759.8,75.6,MOR-SYN-007,Muru,yellow,soup,0,4,51,1,1848,1
NPB-0217,COM-10,Cusco,2025-baseline,1,29,low,2341.4,34.1,MOR-SYN-028,Sani,cream,market,5,5,60,1,3509,1
NPB-0218,COM-10,Cusco,2025-baseline,3,21,low,2336.3,26.1,MOR-SYN-041,Yana,purple,chuño,7,4,35,1,8408,1
NPB-0219,COM-10,Cusco,2025-baseline,4,20,low,2309.6,34.7,MOR-SYN-027,Amarilla,yellow,soup,4,1,65,0,2783,0
NPB-0220,COM-10,Cusco,2025-baseline,3,18,low,2315.5,28.2,MOR-SYN-017,Amarilla,yellow,soup,8,3,17,1,3738,1
NPB-0221,COM-10,Cusco,2025-baseline,2,35,low,2307.9,22.6,MOR-SYN-054,Peruanita,multicolour,ceremonial,4,3,48,0,1293,0
NPB-0222,COM-10,Cusco,2025-baseline,4,14,low,2354.1,20.7,MOR-SYN-002,Qeqorani,yellow,soup,1,5,15,1,7443,1
NPB-0223,COM-10,Cusco,2025-baseline,4,23,low,2281.7,26.3,MOR-SYN-006,Muru,purple,chuño,2,4,70,1,6243,1
NPB-0224,COM-10,Cusco,2025-baseline,1,15,low,2358.1,22.1,MOR-SYN-039,Wenccos,multicolour,ceremonial,3,3,65,0,7168,0
NPB-0225,COM-10,Cusco,2025-baseline,4,13,low,2358.7,29.0,MOR-SYN-031,Yana,purple,chuño,7,2,25,1,9084,1
NPB-0226,COM-10,Cusco,2025-baseline,1,18,low,2302.2,18.8,MOR-SYN-007,Amarilla,yellow,soup,3,3,5,0,8147,0
NPB-0227,COM-10,Cusco,2025-baseline,3,30,low,2350.8,23.9,MOR-SYN-018,Sani,cream,market,5,4,4,1,8119,1
NPB-0228,COM-10,Cusco,2025-baseline,3,31,low,2308.0,26.2,MOR-SYN-016,Muru,purple,chuño,3,4,18,1,9146,1
NPB-0229,COM-10,Cusco,2025-baseline,1,13,low,2388.5,24.9,MOR-SYN-023,Ccompis,cream,market,0,2,9,1,9914,1
NPB-0230,COM-10,Cusco,2025-baseline,3,34,low,2394.1,25.3,MOR-SYN-059,Wenccos,multicolour,ceremonial,4,1,4,0,9509,0
NPB-0231,COM-10,Cusco,2025-baseline,3,22,low,2358.7,24.6,MOR-SYN-008,Sani,cream,market,4,4,18,1,3436,1
NPB-0232,COM-10,Cusco,2025-baseline,2,30,low,2375.3,23.7,MOR-SYN-030,Puka,red,boiling,0,2,30,0,5105,0
NPB-0233,COM-10,Cusco,2025-baseline,1,22,low,2330.2,21.9,MOR-SYN-013,Ccompis,cream,market,8,4,10,1,7775,1
NPB-0234,COM-10,Cusco,2025-baseline,1,35,low,2331.3,28.5,MOR-SYN-035,Azul,red,boiling,4,4,67,0,5568,0
NPB-0235,COM-10,Cusco,2025-baseline,4,19,low,2302.2,22.8,MOR-SYN-004,Peruanita,multicolour,ceremonial,7,1,24,1,2802,1
NPB-0236,COM-10,Cusco,2025-baseline,2,26,low,2336.6,36.5,MOR-SYN-005,Azul,red,boiling,4,3,10,0,6273,0
NPB-0237,COM-10,Cusco,2025-baseline,1,23,low,2361.5,26.0,MOR-SYN-022,Qeqorani,yellow,soup,4,4,34,1,9557,1
NPB-0238,COM-10,Cusco,2025-baseline,1,15,low,2350.7,29.7,MOR-SYN-025,Azul,red,boiling,6,5,26,1,7158,1
NPB-0239,COM-10,Cusco,2025-baseline,3,22,low,2319.1,24.4,MOR-SYN-053,Ccompis,cream,market,8,3,47,1,9244,1
NPB-0240,COM-10,Cusco,2025-baseline,4,30,low,2361.0,34.8,MOR-SYN-044,Peruanita,multicolour,ceremonial,8,2,64,1,6147,1
NPB-0241,COM-11,Puno,2025-baseline,2,24,mid,3141.6,41.6,MOR-SYN-039,Puka,multicolour,ceremonial,4,2,46,1,5545,1
NPB-0242,COM-11,Puno,2025-baseline,1,37,mid,3163.9,41.0,MOR-SYN-043,Peruanita,cream,market,5,4,5,1,1649,1
NPB-0243,COM-11,Puno,2025-baseline,3,30,mid,3150.8,42.5,MOR-SYN-059,Puka,multicolour,ceremonial,2,4,48,1,1820,1
NPB-0244,COM-11,Puno,2025-baseline,1,35,mid,3179.1,45.8,MOR-SYN-033,Peruanita,cream,market,6,1,20,1,5844,1
NPB-0245,COM-11,Puno,2025-baseline,4,34,mid,3170.8,42.9,MOR-SYN-003,Peruanita,cream,market,0,5,39,0,3193,0
NPB-0246,COM-11,Puno,2025-baseline,4,13,mid,3160.6,38.2,MOR-SYN-036,Amarilla,purple,chuño,3,4,62,1,8526,1
NPB-0247,COM-11,Puno,2025-baseline,3,12,mid,3170.7,39.3,MOR-SYN-010,Yana,red,boiling,7,5,38,1,3750,1
NPB-0248,COM-11,Puno,2025-baseline,2,36,mid,3199.2,44.0,MOR-SYN-020,Yana,red,boiling,0,4,44,0,3421,0
NPB-0249,COM-11,Puno,2025-baseline,4,24,mid,3118.1,41.4,MOR-SYN-046,Amarilla,purple,chuño,6,1,53,1,4419,1
NPB-0250,COM-11,Puno,2025-baseline,4,27,mid,3197.8,39.0,MOR-SYN-017,Sani,yellow,soup,6,3,58,1,1271,1
NPB-0251,COM-11,Puno,2025-baseline,3,28,mid,3155.6,34.3,MOR-SYN-049,Puka,multicolour,ceremonial,0,4,43,1,4412,1
NPB-0252,COM-11,Puno,2025-baseline,1,15,mid,3133.9,37.9,MOR-SYN-014,Azul,multicolour,ceremonial,8,5,32,1,1030,1
NPB-0253,COM-11,Puno,2025-baseline,3,25,mid,3194.1,41.8,MOR-SYN-011,Qeqorani,purple,chuño,6,1,48,1,7657,1
NPB-0254,COM-11,Puno,2025-baseline,3,37,mid,3195.8,37.1,MOR-SYN-013,Peruanita,cream,market,5,4,13,0,8931,0
NPB-0255,COM-11,Puno,2025-baseline,3,15,mid,3126.1,37.5,MOR-SYN-024,Azul,multicolour,ceremonial,7,5,67,1,1538,1
NPB-0256,COM-11,Puno,2025-baseline,3,23,mid,3164.3,40.0,MOR-SYN-044,Azul,multicolour,ceremonial,7,1,68,1,8660,1
NPB-0257,COM-11,Puno,2025-baseline,4,26,mid,3129.0,50.0,MOR-SYN-045,Muru,red,boiling,0,1,19,0,4865,0
NPB-0258,COM-11,Puno,2025-baseline,4,14,mid,3151.3,38.3,MOR-SYN-029,Puka,multicolour,ceremonial,1,4,36,0,7950,0
NPB-0259,COM-11,Puno,2025-baseline,4,26,mid,3159.3,35.3,MOR-SYN-030,Yana,red,boiling,2,4,68,1,4586,1
NPB-0260,COM-11,Puno,2025-baseline,4,31,mid,3194.3,38.7,MOR-SYN-038,Wenccos,cream,market,0,1,67,0,6908,0
NPB-0261,COM-11,Puno,2025-baseline,4,12,mid,3181.9,38.5,MOR-SYN-009,Puka,multicolour,ceremonial,2,1,46,0,6436,0
NPB-0262,COM-11,Puno,2025-baseline,4,33,mid,3159.0,44.7,MOR-SYN-007,Sani,yellow,soup,1,4,57,0,7863,0
NPB-0263,COM-11,Puno,2025-baseline,1,19,mid,3158.9,36.6,MOR-SYN-057,Sani,yellow,soup,0,3,13,1,1711,1
NPB-0264,COM-11,Puno,2025-baseline,2,34,mid,3221.2,32.8,MOR-SYN-032,Ccompis,yellow,soup,1,5,25,0,8621,0
NPB-0265,COM-12,Ayacucho,2025-baseline,1,17,high,3831.2,79.2,MOR-SYN-010,Qeqorani,red,boiling,1,1,18,1,7574,1
NPB-0266,COM-12,Ayacucho,2025-baseline,1,35,high,3779.1,75.8,MOR-SYN-053,Azul,cream,market,6,2,3,1,1369,1
NPB-0267,COM-12,Ayacucho,2025-baseline,1,13,high,3780.1,77.4,MOR-SYN-038,Puka,cream,market,0,1,3,0,7341,0
NPB-0268,COM-12,Ayacucho,2025-baseline,2,25,high,3848.6,75.0,MOR-SYN-027,Wenccos,yellow,soup,1,4,47,1,8382,1
NPB-0269,COM-12,Ayacucho,2025-baseline,2,34,high,3824.4,70.9,MOR-SYN-021,Ccompis,purple,chuño,7,5,48,1,1483,1
NPB-0270,COM-12,Ayacucho,2025-baseline,4,35,high,3848.1,77.5,MOR-SYN-042,Peruanita,yellow,soup,7,4,52,1,5025,1
NPB-0271,COM-12,Ayacucho,2025-baseline,2,32,high,3826.6,77.1,MOR-SYN-050,Qeqorani,red,boiling,4,5,39,1,9943,1
NPB-0272,COM-12,Ayacucho,2025-baseline,3,25,high,3787.2,73.2,MOR-SYN-047,Wenccos,yellow,soup,4,5,58,1,4956,1
NPB-0273,COM-12,Ayacucho,2025-baseline,1,20,high,3679.5,82.4,MOR-SYN-005,Amarilla,red,boiling,3,3,33,1,3889,1
NPB-0274,COM-12,Ayacucho,2025-baseline,2,34,high,3777.3,78.1,MOR-SYN-018,Puka,cream,market,4,2,29,1,2671,1
NPB-0275,COM-12,Ayacucho,2025-baseline,2,33,high,3809.0,76.7,MOR-SYN-049,Yana,multicolour,ceremonial,4,2,3,0,3674,0
NPB-0276,COM-12,Ayacucho,2025-baseline,3,25,high,3838.2,69.3,MOR-SYN-015,Amarilla,red,boiling,1,3,24,1,8034,1
NPB-0277,COM-12,Ayacucho,2025-baseline,3,15,high,3766.0,73.6,MOR-SYN-007,Wenccos,yellow,soup,0,1,29,0,2048,0
NPB-0278,COM-12,Ayacucho,2025-baseline,3,22,high,3770.9,71.0,MOR-SYN-022,Peruanita,yellow,soup,3,2,42,1,7218,1
NPB-0279,COM-12,Ayacucho,2025-baseline,2,31,high,3828.7,74.1,MOR-SYN-034,Muru,multicolour,ceremonial,4,3,8,1,3444,1
NPB-0280,COM-12,Ayacucho,2025-baseline,1,20,high,3835.2,70.3,MOR-SYN-003,Azul,cream,market,0,4,4,1,3843,1
NPB-0281,COM-12,Ayacucho,2025-baseline,4,12,high,3817.2,79.0,MOR-SYN-025,Amarilla,red,boiling,0,4,6,1,1386,1
NPB-0282,COM-12,Ayacucho,2025-baseline,3,22,high,3784.0,81.0,MOR-SYN-008,Puka,cream,market,3,4,49,0,8421,0
NPB-0283,COM-12,Ayacucho,2025-baseline,4,28,high,3811.2,75.4,MOR-SYN-033,Azul,cream,market,7,4,5,1,7787,1
NPB-0284,COM-12,Ayacucho,2025-baseline,3,35,high,3805.5,74.2,MOR-SYN-056,Sani,purple,chuño,5,4,10,1,9885,1
NPB-0285,COM-12,Ayacucho,2025-baseline,3,38,high,3799.0,78.1,MOR-SYN-036,Sani,purple,chuño,8,5,48,1,2660,1
NPB-0286,COM-12,Ayacucho,2025-baseline,4,17,high,3809.3,72.3,MOR-SYN-037,Wenccos,yellow,soup,8,4,18,1,2291,1
NPB-0287,COM-12,Ayacucho,2025-baseline,2,20,high,3874.5,83.2,MOR-SYN-032,Peruanita,yellow,soup,2,1,10,1,7185,1
NPB-0288,COM-12,Ayacucho,2025-baseline,3,36,high,3790.7,86.4,MOR-SYN-040,Qeqorani,red,boiling,6,1,39,0,2834,0
