record_id,site,season,block,replicate,genotype,altitude_m,rainfall_mm,mean_temperature_c,irrigation_mm,canopy_cover_pct,late_blight_severity_pct,soil_ph,yield_t_ha,dry_matter_pct,plot_marker_number,harvest_value_usd_ha
PBT-0034,la molina,2024-A,1,1,CIP-SYN-012,222.2,105.0,21.6,411.4,70.0,6.3,5.95,29.05,19.6,2875,8261.61
PBT-0033,La Molina,2024A,3,3,CIP-SYN-011,239.9,69.6,20.5,420.2,58.7,8.4,5.45,32.85,20.1,2949,10133.75
PBT-0006,La Molina,2024A,3,3,CIP-SYN-002,262.0,54.7,19.9,378.9,71.7,0,5.97,30560 kg/ha,18.4,3516,8891.93
PBT-0010,La Molina,2024-A,1,1,CIP-SYN-004,227.8,44.8,21.3,403.8,75.3,6.4,5.45,37.29,18.1,4576,10367.13
PBT-0102,Cajamarca,2024-A,3,3,CIP-SYN-010,2736.4,668.3,14.7,193.4,65.3,35.1,5.68,26.06,19.2,2818,7884.0
PBT-0275,Canete,2025-A,2,2,CIP-SYN-008,75.9,94.3,21.7,437.2,74.0,25.4,5.22,37.14,20.6,6668,9965.57
PBT-0230,Cajamarca,2025-A,2,2,CIP-SYN-005,2755.4,749.1,15.7,200.9,74.0,44.8,5.87,20.61,18.5,2164,6289.91
PBT-0161,La Molina,2025-A,2,2,CIP-SYN-006,245.2,124.2,20.0,372.0,48.9,13.0,5.75,27.46,18.4,8233,8429.47
PBT-0085,Cajamarca,2024-A,1,1,CIP-SYN-005,2724.3,674.7,13.5,241.2,82.6,34.5,6.1,27.43,17.3,4044,7469.09
PBT-0270,Canete,2025-A,3,3,CIP-SYN-006,57.8,45.5,23.3,418.4,62.5,18.6,6.3,36.3,21.0,6044,9368.47
PBT-0073,Cajamarca,2024-A,1,1,CIP-SYN-001,2747.4,709.8,14.6,231.9,52.5,9.2,5.78,24.43,18.2,9979,6399.73
PBT-0251,Cajamarca,2025-A,2,2,CIP-SYN-012,2738.5,738.6,15.0,251.1,70.4,29.6,4.96,22.1,17.5,1319,6735.97
PBT-0185,Huancayo,2025 A,2,2,CIP-SYN-002,10651 ft,530.6,13.4,167.1,72.0,15.9,4.75,21.01,18.5,3717,5691.45
PBT-0157,la molina,2025-A,1,1,CIP-SYN-005,231.7,144.8,21.0,427.8,71.5,13.8,5.75,27.28,13,1306,7402.64
PBT-0146,La Molina,2025-A,2,2,CIP-SYN-001,252.5,96.1,20.3,405.8,51.6,1.3,5.71,26.88,17.5,2415,7299.9
PBT-0223,Cajamarca,2025-A,1,1,CIP-SYN-003,2764.3,750.2,15.5,211.5,68.8,22.4,6.84,28.63,17.2,9384,7713.4
PBT-0036,La Molina,2024-A,3,3,CIP-SYN-012,242.4,55.9,20.2,447.8,68.1,14.1,5.39,25.28,19.0,8967,6790.38
PBT-0187,Huancayo,2025-A,1,1,CIP-SYN-003,3251.8,561.6,14.0,147.9,52.8,12.5,6.74,20.03,21.4,1394,6105.34
PBT-0207,Huancayo,2025-A,3,3,CIP-SYN-009,10719 ft,560.1,11.5,179.1,79.3,27.0,6.27,24.05,19.3,7673,6960.33
PBT-0204,Huancayo,2025-A,3,3,CIP-SYN-008,3234.8,592.8,11.6,153.9,71.4,23.0,5.71,25.08,20.6,6214,6869.95
PBT-0173,La Molina,2025-A,2,2,CIP-SYN-010,271.2,129.4,21.0,429.6,69.3,24.3,6.04,31.71,21.2,1705,9476.22
PBT-0284,Canete,2025-A,2,2,CIP-SYN-011,75.0,103.7,23.0,466.6,61.9,3.8,5.7,34.54,23.0,5271,9996.86
PBT-0269,Canete,2025-A,2,2,CIP-SYN-006,185 ft,46.2,23.2,456.5,66.5,10.1,5.66,37.02,18.0,5848,9482.35
PBT-0095,Cajamarca,2024-A,2,2,CIP-SYN-008,2737.9,744.7,12.7,210.2,,46.7,5.93,16.25,19.9,5949,5054.07
PBT-0152,La Molina,2025-A,2,2,CIP-SYN-003,255.7,140.4,20.9,376.0,61.3,1.7,6.06,32.08,19.2,5693,8848.07
PBT-0124,Canete,2024-A,1,1,CIP-SYN-006,86.5,44.7,21.6,449.7,68.2,21.0,6.13,30.8,21.0,6465,8762.36
PBT-0176,La Molina,2025-A,2,2,CIP-SYN-011,251.2,101.9,21.6,463.3,57.9,2.2,6.0,32810 kg/ha,20.8,1983,9221.53
PBT-0277,Canete,2025-A,1,1,CIP-SYN-009,76.2,25.0,21.5,416.0,75.1,6.6,6.18,37.03,20.9,5726,11293.56
PBT-0280,Canete,2025-A,1,1,CIP-SYN-010,85.5,96.6,23.0,445.7,81.8,9.4,,38.26,,1108,10292.49
PBT-0190,Huancayo,2025-A,1,1,CIP-SYN-004,3253.4,582.0,12.7,145.6,71.3,19.6,5.49,23.69,19.9,8169,7367.9
PBT-0118,Canete,2024A,1,1,CIP-SYN-004,91.3,59.7,23.2,469.4,73.9,0,6.13,40.14,19.4,9220,11307.35
PBT-0248,Cajamarca,2025-A,2,2,CIP-SYN-011,2723.9,744.1,14.8,144.4,63.0,27.0,5.33,26.1,21.5,6291,7302.41
PBT-0056,Huancayo,2024-A,2,2,CIP-SYN-007,3215.4,537.0,11.8,141.3,76.9,6.6,5.68,27.07,20.1,2728,6931.48
PBT-0148,La Molina,2025-A,1,1,CIP-SYN-002,239.8,132.5,22.2,415.9,71.1,1.5,5.78,27.36,19.1,4182,7820.08
PBT-0015,La Molina,2024-A,3,3,CIP-SYN-005,249.0,130.7,20.6,392.6,69.5,21.0,5.94,24.09,18.5,3808,7363.89
PBT-0149,La Molina,2025-A,2,2,CIP-SYN-002,234.7,104.1,21.0,366.3,75.4,0,5.58,30.98,15.9,4377,8165.6
PBT-0229,Cajamarca,2025-A,1,1,CIP-SYN-005,2754.5,727.5,16.5,227.7,73.2,22.5,5.27,24.51,17.6,5205,7436.99
PBT-0171,La Molina,2025-A,3,3,CIP-SYN-009,254.9,129.1,21.4,390.0,72.2,4.6,6.49,32.68,18.1,7207,8694.82
PBT-0231,Cajamarca,2025-A,3,3,CIP-SYN-005,2774.0,770.2,15.7,203.3,74.1,36.9,5.52,22.3,16.6,4378,6120.13
PBT-0005,La Molina,2024-A,2,2,CIP-SYN-002,224.1,82.3,20.4,358.5,78.5,8.5,5.33,33.23,18.7,2303,8990.33
PBT-0216,Huancayo,2025-A,3,3,CIP-SYN-012,3248.9,552.7,12.4,128.8,67.7,27.9,6.06,17.15,19.8,5552,4375.32
PBT-0101,Cajamarca,2024-A,2,2,CIP-SYN-010,2747.8,731.4,12.9,201.0,73.2,39.3,5.49,25.14,18.4,8338,7110.88
PBT-0132,Canete,2024-A,3,3,CIP-SYN-008,111.7,14.9,21.8,461.6,72.6,21.8,6.26,37.53,19.4,5889,11572.54
PBT-0210,Huancayo,2025-A,3,3,CIP-SYN-010,3247.2,478.1,12.4,159.7,77.3,,6.28,23.22,17.8,3085,6576.14
PBT-0067,Huancayo,2024-A,1,1,CIP-SYN-011,3245.3,472.1,11.3,131.0,62.3,11.9,6.52,18.8,18.6,5691,5184.47
PBT-0145,La Molina,2025-A,1,1,CIP-SYN-001,239.1,123.6,20.9,411.1,64.8,0,6.25,28.94,16.7,7646,7771.84
PBT-0121,Canete,2024-A,1,1,CIP-SYN-005,79.6,69.8,22.0,423.3,67.0,4.4,6.09,31.34,19.2,1331,9706.82
PBT-0252,Cajamarca,2025-A,3,3,CIP-SYN-012,2751.0,707.8,14.7,236.6,59.7,24.9,6.0,17.4,15.4,9059,4827.72
PBT-0052,Huancayo,2024-A,1,1,CIP-SYN-006,3258.1,477.1,11.0,135.7,54.5,24.6,5.17,17.91,17.1,4799,5252.09
PBT-0064,Huancayo,2024-A,1,1,CIP-SYN-010,3227.7,509.7,12.9,171.8,72.3,26.2,6.24,19.13,18.4,3086,5025.27
PBT-0240,Cajamarca,2025-A,3,3,CIP-SYN-008,2750.0,686.6,15.2,229.8,68.7,39.4,5.2,26.9,21.3,5689,7697.5
PBT-0048,Huancayo,2024-A,3,3,CIP-SYN-004,3226.5,507.1,11.9,139.8,68.5,26.3,5.43,20.36,20.3,4872,6352.25
PBT-0204,Huancayo,2025-A,3,3,CIP-SYN-008,3234.8,592.8,11.6,153.9,71.4,23.0,5.71,25.08,20.6,6214,6869.95
PBT-0202,Huancayo,2025-A,1,1,CIP-SYN-008,3234.6,504.4,12.9,117.8,83.3,36.5,5.74,25.16,17.5,6039,6976.61
PBT-0057,Huancayo,2024-A,3,3,CIP-SYN-007,3255.7,481.7,12.6,123.3,73.6,6.4,5.9,26.38,20.4,3629,6787.17
PBT-0079,Cajamarca,2024-A,1,1,CIP-SYN-003,2767.2,686.4,14.9,194.3,56.1,16.4,6.91,24.57,20.3,7529,6812.94
PBT-0144,Canete,2024-A,3,3,CIP-SYN-012,85.5,54.8,23.1,436.5,56.4,10.8,5.67,28.42,17.5,9308,7867.77
PBT-0159,La Molina,2025-A,3,3,CIP-SYN-005,232.0,115.7,22.6,422.9,76.3,7.0,5.5,30.65,19.2,1399,8249.89
PBT-0069,Huancayo,2024-A,3,3,CIP-SYN-011,3248.5,569.8,11.7,131.7,,16.3,,25.12,20.1,5478,6638.11
PBT-0129,Canete,2024-A,3,3,CIP-SYN-007,69.3,31.4,22.3,480.8,77.4,,5.88,37420 kg/ha,21.1,7538,10258.75
PBT-0122,Canete,2024-A,2,2,CIP-SYN-005,80.7,23.2,22.9,480.3,81.5,8.3,5.46,35.27,16.5,5615,9771.02
PBT-0087,Cajamarca,2024-A,3,3,CIP-SYN-005,2744.3,674.6,15.4,209.9,72.4,32.5,6.04,21.88,18.8,5729,6431.65
PBT-0283,Canete,2025-A,1,1,CIP-SYN-011,65.7,51.8,23.8,479.5,51.3,16.0,5.92,30.68,20.7,7868,7917.05
PBT-0002,La Molina,2024-A,2,2,CIP-SYN-001,248.8,117.0,20.5,394.6,55.8,0,6.79,26.69,,9378,8143.61
PBT-0112,Canete,2024-A,1,1,CIP-SYN-002,65.9,-24.1,22.6,460.9,57.0,0,5.72,31.79,17.9,3729,9674.74
PBT-0078,Cajamarca,2024-A,3,3,CIP-SYN-002,2726.6,727.8,16.0,144.9,66.9,6.8,6.53,26.83,17.8,3336,7965.03
PBT-0198,Huancayo,2025-A,3,3,CIP-SYN-006,3236.3,584.1,13.0,120.3,55.3,35.9,6.24,16.0,18.2,6403,4249.7
PBT-0001,La Molina,2024-A,1,1,CIP-SYN-001,226.8,40.0,21.3,394.6,56.0,7.3,6.81,27.25,18.3,8306,7650.31
PBT-0039,Huancayo,2024-A,3,3,CIP-SYN-001,3261.5,480.4,11.8,145.0,51.9,14.9,6.14,15.67,19.2,7244,4833.31
PBT-0255,Canete,2025-A,3,3,CIP-SYN-001,85.8,90.4,24.0,440.0,56.1,0,5.75,31.32,18.5,3783,8918.27
PBT-0092,Cajamarca,2024-A,2,2,CIP-SYN-007,2759.0,704.5,15.3,219.1,74.7,25.0,5.81,29.52,20.6,2914,7764.15
PBT-0247,Cajamarca,2025-A,1,1,CIP-SYN-011,2750.7,709.2,15.3,219.9,71.7,27.8,5.98,26.15,18.7,9262,6955.49
PBT-0025,La Molina,2024-A,1,1,CIP-SYN-009,227.3,67.1,20.0,409.0,69.7,0.9,,35.79,21.1,4609,9495.91
PBT-0113,Canete,2024-A,2,2,CIP-SYN-002,85.9,-16.4,23.0,446.9,69.5,6.6,6.03,32.87,18.7,2506,9684.92
PBT-0179,La Molina,2025-A,2,2,CIP-SYN-012,249.0,181.8,21.5,389.4,54.6,26.3,6.29,24.38,18.1,9202,7494.63
PBT-0281,Canete,2025-A,2,2,CIP-SYN-010,76.7,46.5,23.8,425.0,,14.8,5.55,36.45,15.8,3018,10927.23
PBT-0140,Cañete,2024-A,2,2,CIP-SYN-011,88.5,40.6,21.5,497.7,63.9,0,5.36,35.4,21.7,9717,9413.53
PBT-0051,Huancayo,2024-A,3,3,CIP-SYN-005,3268.1,505.9,12.9,192.1,77.5,,5.51,19.47,18.2,8230,6056.93
PBT-0086,Cajamarca,2024-A,2,2,CIP-SYN-005,2770.8,679.1,13.1,164.5,,41.6,6.33,23.48,18.8,8290,6097.17
PBT-0136,Canete,2024-A,1,1,CIP-SYN-010,86.1,-4.1,22.2,481.4,74.5,6.5,5.61,39.08,21.1,6785,10178.59
PBT-0106,Cajamarca,2024-A,1,1,CIP-SYN-012,2735.8,723.8,14.8,210.1,68.2,14.8,5.61,24.93,17.7,1489,7614.49
PBT-0245,Cajamarca,2025-A,2,2,CIP-SYN-010,2765.1,727.4,15.3,227.1,73.3,42.1,5.29,23.88,17.5,1701,7442.3
PBT-0055,Huancayo,2024-A,1,1,CIP-SYN-007,3261.8,495.1,13.1,205.1,73.8,16.4,5.7,26.24,21.3,1217,7025.64
PBT-0278,Canete,2025-A,2,2,CIP-SYN-009,293 ft,54.1,23.7,454.5,75.8,6.1,5.36,41.55,19.3,4048,11973.87
PBT-0011,La Molina,2024-A,2,2,CIP-SYN-004,257.0,73.4,19.8,422.4,78.7,0.6,5.46,33.08,18.1,2227,9109.83
PBT-0139,Canete,2024-A,1,1,CIP-SYN-011,83.8,25.4,21.9,458.1,64.7,,,36.11,25.7,1428,10164.23
PBT-0063,Huancayo,2024-A,3,3,CIP-SYN-009,3260.3,518.8,11.2,189.3,74.7,20.3,6.37,24.67,18.1,7829,7517.86
PBT-0137,Canete,2024-A,2,2,CIP-SYN-010,236 ft,38.1,20.6,451.9,81.6,15.8,5.82,36.04,20.8,1538,10623.29
PBT-0274,Canete,2025-A,1,1,CIP-SYN-008,92.2,60.7,23.5,449.6,,13.1,6.27,35.65,,9320,10407.53
PBT-0130,Canete,2024-A,1,1,CIP-SYN-008,80.5,12.7,21.9,459.3,76.1,13.9,6.29,36.67,20.0,3327,10596.52
PBT-0241,Cajamarca,2025-A,1,1,CIP-SYN-009,2757.3,770.2,16.5,176.5,73.5,24.8,6.29,25.85,21.9,2496,6960.96
PBT-0061,Huancayo,2024-A,1,1,CIP-SYN-009,3254.3,522.8,11.9,142.3,80.0,16.3,5.89,25.75,19.5,3721,7585.73
PBT-0218,Cajamarca,2025-A,2,2,CIP-SYN-001,2742.1,716.0,14.8,237.3,61.7,19.5,5.38,21.27,18.1,5400,6050.53
PBT-0003,La Molina,2024-A,3,3,CIP-SYN-001,254.5,97.1,21.3,421.9,65.6,0,5.79,32.83,19.4,7118,8457.35
PBT-0156,La Molina,2025-A,3,3,CIP-SYN-004,249.2,111.6,21.4,385.1,71.2,10.3,6.19,30.84,20.5,6876,8323.7
PBT-0044,Huancayo,2024-A,2,2,CIP-SYN-003,3211.7,491.1,12.4,129.9,61.0,31.6,5.84,19820 kg/ha,19.7,1941,5375.02
PBT-0118,Canete,2024A,1,1,CIP-SYN-004,91.3,59.7,23.2,469.4,73.9,0,6.13,40.14,19.4,9220,11307.35
PBT-0120,Cañete,2024-A,3,3,CIP-SYN-004,71.6,-8.8,21.3,436.2,67.7,0.8,5.8,35.74,17.4,7262,10063.89
PBT-0071,Huancayo,2024-A,2,2,CIP-SYN-012,3237.2,478.4,11.6,190.7,62.7,23.3,5.2,18.18,17.8,9642,5365.08
PBT-0012,La Molina,2024-A,3,3,CIP-SYN-004,209.1,88.6,20.2,424.3,67.9,1.8,5.68,33.98,17.7,3385,10424.07
PBT-0077,Cajamarca,2024-A,2,2,CIP-SYN-002,2753.1,669.8,15.7,204.9,73.6,17.1,6.4,27.89,20.9,7684,7874.06
PBT-0107,Cajamarca,2024-A,2,2,CIP-SYN-012,2759.2,739.6,15.1,190.6,68.3,27.1,5.34,21.04,19.3,3762,5577.98
PBT-0287,Canete,2025-A,2,2,CIP-SYN-012,59.7,106.7,21.5,433.4,58.7,18.3,5.55,29.78,18.8,7905,9018.17
PBT-0081,Cajamarca,2024-A,3,3,CIP-SYN-003,2768.4,692.4,15.2,217.7,56.9,19.2,5.23,22.94,21.3,9843,5895.52
PBT-0111,Canete,2024-A,3,3,CIP-SYN-001,77.3,-26.5,23.6,470.3,49.8,0,5.49,29.79,,8098,8342.15
PBT-0141,Canete,2024-A,3,3,CIP-SYN-011,89.6,1.2,24.2,504.1,72.0,0.1,5.41,35.02,20.8,1783,9274.32
PBT-0026,La Molina,2024-A,2,2,CIP-SYN-009,227.6,49.1,21.0,423.6,72.8,16.3,5.3,30.53,20.0,9605,9422.04
PBT-0266,Canete,2025-A,2,2,CIP-SYN-005,70.6,82.4,22.7,452.5,71.9,15.3,5.71,31.66,17.5,3797,9774.05
PBT-0195,Huancayo,2025-A,3,3,CIP-SYN-005,3233.9,520.2,12.7,141.8,,,5.44,16.3,18.2,5218,4270.57
PBT-0164,La Molina,2025-A,2,2,CIP-SYN-007,254.9,122.9,20.6,434.0,76.7,0,5.71,40.82,22.8,1458,11824.48
PBT-0158,La Molina,2025-A,2,2,CIP-SYN-005,235.1,153.8,20.7,392.0,76.9,12.8,6.16,33.13,15.6,6916,9438.88
PBT-0268,Canete,2025-A,1,1,CIP-SYN-006,64.4,74.8,22.6,462.6,73.9,18.3,5.45,40.59,20.1,6128,11494.44
PBT-0062,Huancayo,2024-A,2,2,CIP-SYN-009,3243.1,448.2,12.7,189.2,67.3,10.3,5.83,25.66,18.2,8894,8047.26
